"","ADRM1","C1orf74","CCL2","CXCL2","EIF4A1","FPR1","GTPBP4","HSPA8","IL6","LCMT2","LILRB3","MYC","NOB1","OSM","PTGS2","RPF2","S100A12","SERTAD1","SNORA31","SOCS1","STAT3","UTP14A","ZFP36"
"01V2L",10.20980364,7.849218144,9.094668442,3.074365688,13.02570778,4.581159375,9.538542312,12.97943631,3.779365201,7.937153314,4.435356856,10.82388884,9.678972016,2.86832716,6.731457318,9.099330185,2.524659797,8.118717051,1.756926526,5.294744167,11.74846209,8.523451877,10.65126709
"03V2L",10.66832944,8.191506569,9.400096633,2.401620642,14.14232347,5.25932091,10.60631719,14.11627158,3.463495242,8.305199268,4.89769714,11.12955687,10.34300469,2.996868078,6.412280039,10.27644948,3.28897001,8.734983925,2.25562571,5.510670243,12.76684586,9.682969469,10.97735291
"04V2L",10.16633508,7.712652182,9.606728347,3.467210842,12.74969566,5.141394833,9.38528855,12.82746171,4.65017962,7.671731379,4.685442477,10.4179271,9.566613058,3.769326674,7.553415255,8.980574137,2.448005657,8.199835787,1.715507116,5.909878425,11.7010695,8.189539982,11.36559148
"05V2L",10.1290654,7.480391167,7.386043606,2.560575509,12.83008145,4.174716886,9.372021844,12.92565248,3.059295065,7.685180051,4.056176497,9.944943369,9.495859934,2.721033388,6.723842566,8.778213794,2.628677723,7.958905052,2.013889278,5.566994363,11.78811269,8.462015466,10.13622078
"06V2L",10.22960868,7.457019658,8.226258536,2.497152395,13.34179004,5.841171632,9.482081839,13.07896276,3.339295941,7.611582172,5.054187821,9.821084654,9.612520575,2.841269709,6.497132451,9.015366213,2.925886746,8.605416551,1.795485724,5.728806135,11.81651953,8.597464172,10.37612575
"09V2L",10.2777853,7.917911439,8.625162516,2.821098298,13.39088075,5.820754598,9.639595211,13.512056,3.385178412,7.582375916,5.452602528,10.54538081,9.502186011,2.809210233,6.77057889,9.08180457,3.431584135,8.019165943,1.710309577,6.178332216,12.51388688,8.667239014,10.85555974
"10V2L",9.955066502,8.33293015,8.82367774,3.865923743,12.66956019,4.208260264,9.084821998,12.79233275,4.736495112,7.586452991,4.658964925,11.81028329,9.260629628,3.076517553,10.16541266,8.59419068,2.526564838,9.276904873,2.656220047,6.22297068,11.57489241,7.916849334,13.51003951
"12V2L",10.15140082,7.38156057,10.0851582,3.511313803,12.82473507,5.279416226,9.563048487,13.32572332,5.273560501,7.755230609,5.039576843,11.11401111,9.534443175,3.283160974,8.110443956,8.887354388,2.844262811,8.649521053,2.11495649,5.910256695,11.88314935,8.589256761,12.46397923
"01V2NL",10.17773342,7.319079626,7.1661725,2.483940873,12.77308733,3.790584724,9.149562394,12.67584483,2.669523556,7.573503985,3.935161105,10.03333567,9.613779764,2.471317807,5.89535498,8.598735594,2.234565743,7.845311847,1.823140582,5.264060004,11.64617964,8.384722458,10.13240709
"03V2NL",10.1262272,7.658484685,7.021973783,2.465600943,12.91695705,3.652115698,9.450714244,12.72530894,2.652263766,7.818171372,3.959625079,10.09167013,9.859616105,2.332405544,6.47636883,8.988582986,2.287058234,7.811655161,2.037912161,4.893382549,11.95171821,8.607022559,10.19193362
"04V2NL",10.1708043,7.8454616,7.560587586,2.749135832,12.78666587,3.869955474,9.387280489,12.73500874,2.95397631,7.499844777,3.998593278,10.04579777,9.481905326,2.548330573,7.105755622,8.896522558,2.387984134,7.876950635,1.900609382,5.384604688,11.71356831,8.217424498,10.13576785
"05V2NL",10.25583427,7.812872304,7.620626115,2.470947852,12.96353022,4.631270299,9.47453951,13.15071179,2.658539335,7.655068149,3.977212774,9.995937873,9.636156705,2.335312914,6.578327783,8.845101119,2.547347498,7.853746912,1.866730501,5.907821654,12.15476211,8.355273645,10.08825198
"06V2NL",10.1992045,7.497807244,6.89487259,2.469933259,13.05673697,4.206167867,9.302840323,13.01408162,2.656182871,7.512797217,3.847964869,9.969512417,9.460538233,2.496412072,6.201281109,8.68344465,2.397423519,8.129710399,1.813954478,5.456706191,11.62118565,8.505943052,10.3774785
"09V2NL",10.07406031,7.813926246,6.569832101,2.582949046,12.92529495,4.030110628,9.304767185,12.65851171,2.70427376,7.531723631,4.313704289,10.56405465,9.510297845,2.334869009,7.397023243,8.735917951,2.345931306,7.894477523,2.085750483,5.421663659,11.63494328,8.388257097,10.51009718
"10V2NL",10.05197705,7.161338516,6.982552021,2.569783063,12.6841798,3.886857486,9.145070165,12.90415677,2.748620961,7.550073773,4.683182593,10.18301227,9.555934765,2.395461877,7.92119623,8.874735482,2.437368052,8.2101736,1.756524208,5.524606226,11.65118022,8.278777492,10.35091433
"12V2NL",10.21658,7.635638924,7.73794403,2.380839629,12.7125807,3.690739891,9.404260121,12.67351608,2.775901421,7.433463577,4.23991966,10.11603309,9.694440812,2.523300199,6.107930311,8.633268404,2.213674281,7.815672125,1.693856815,5.365741327,11.66117595,8.556483927,10.36734889
